generation,robust_mean,robust_max,normal_mean,normal_max,slippery_mean,slippery_max
0,0.47917860746383667,0.7055944204330444,0.5624649524688721,0.9117128252983093,0.39589229226112366,0.54401034116745
1,0.46813249588012695,0.7802131175994873,0.6826515793800354,1.1224305629730225,0.2536134123802185,0.5431409478187561
2,0.5803578495979309,0.8520241379737854,0.7778110504150391,1.2026712894439697,0.382904589176178,0.5667031407356262
3,0.6562272310256958,0.7310751676559448,0.8318023681640625,0.9889183044433594,0.48065200448036194,0.5594879388809204
